"t","y","dy","Filter"
"57459.10789","1.073448","0.06529","X3"
"57459.30288","0.769009","0.05679","X3"
"57459.49903","0.868674","0.07105","X3"
"57459.96735","0.835972","0.06523","X3"
"57460.10849","0.821229","0.094114","X3"
"57460.49661","0.690736","0.050341","X3"
"57460.69951","0.82452","0.078581","X3"
"57460.89716","0.722359","0.086413","X3"
"57461.16724","0.786299","0.064803","X3"
"57461.6926","0.688633","0.052661","X3"
"57461.95835","0.865741","0.056791","X3"
"57462.1668","0.888512","0.073139","X3"
"57462.29006","0.747027","0.065655","X3"
"57462.49008","0.753363","0.05204","X3"
"57462.76081","0.639489","0.046701","X3"
"57463.02119","0.660184","0.046653","X3"
"57463.28647","0.691212","0.059678","X3"
"57463.55325","1.074435","0.06078","X3"
"57463.68628","1.022192","0.068643","X3"
"57463.88999","0.83721","0.06387","X3"
"57464.02645","0.859263","0.073606","X3"
"57464.29104","0.653907","0.049362","X3"
"57464.49471","0.718211","0.077679","X3"
"57464.68334","0.709616","0.060158","X3"
"57464.88565","0.702833","0.060358","X3"
"57465.02629","0.784526","0.060459","X3"
"57465.22621","0.595157","0.052998","X3"
"57465.41474","0.688898","0.048239","X3"
"57465.87904","0.512027","0.045014","X3"
"57466.0118","0.586586","0.053132","X3"
"57466.2119","0.545799","0.040651","X3"
"57466.41054","0.508644","0.035784","X3"
"57466.61045","0.601424","0.051352","X3"
"57466.94463","0.399193","0.038663","X3"
"57467.01241","0.307661","0.025841","X3"
"57467.20794","0.220487","0.023802","X3"
"57467.41388","0.355618","0.032316","X3"
"57467.61302","0.332561","0.032595","X3"
"57467.87236","0.414757","0.032787","X3"
"57468.0801","0.297223","0.031099","X3"
"57468.20388","0.414441","0.043391","X3"
"57468.40345","0.418777","0.033315","X3"
"57468.60264","0.402799","0.041093","X3"
"57468.94529","0.345711","0.034373","X3"
"57469.0077","0.286507","0.034909","X3"
"57469.2003","0.435823","0.037146","X3"
"57469.53354","0.490262","0.045254","X3"
"57469.79999","0.412876","0.038425","X3"
"57470.0113","0.473772","0.041511","X3"
"57470.19906","0.515287","0.042275","X3"
"57470.47754","0.503249","0.03778","X3"
"57470.61129","0.619257","0.049309","X3"
"57470.81055","0.49727","0.043834","X3"
"57471.07678","0.593336","0.049224","X3"
"57471.33779","0.65548","0.050764","X3"
"57471.4705","0.577481","0.045612","X3"
"57471.66327","0.560064","0.043362","X3"
"57471.8605","0.55625","0.045575","X3"
"57472.13094","0.435799","0.038544","X3"
"57472.266","0.436673","0.036782","X3"
"57472.46725","0.368573","0.024987","X3"
"57472.65841","0.3647","0.028435","X3"
"57472.93223","0.591289","0.064324","X3"
"57473.06178","0.36612","0.044781","X3"
"57473.2628","0.496352","0.043572","X3"
"57473.46705","0.517577","0.039446","X3"
"57473.6611","0.524236","0.04164","X3"
"57473.9335","0.421254","0.032075","X3"
"57474.06125","0.472452","0.053149","X3"
"57474.31805","0.41138","0.035818","X3"
"57474.52112","0.405828","0.037122","X3"
"57474.64865","0.352226","0.042498","X3"
"57474.9827","0.282841","0.036164","X3"
"57475.11864","0.334905","0.033368","X3"
"57475.2474","0.42446","0.044554","X3"
"57475.44752","0.262403","0.031901","X3"
"57475.64683","0.186085","0.021906","X3"
"57475.97956","0.299104","0.031871","X3"
"57476.04751","0.258969","0.024063","X3"
"57476.18283","0.282763","0.032493","X3"
"57476.45246","0.319706","0.030025","X3"
"57476.59096","0.375175","0.035373","X3"
"57476.97736","0.328579","0.037479","X3"
"57477.04339","0.367964","0.036527","X3"
"57477.17536","0.228771","0.033285","X3"
"57477.44135","0.32188","0.032657","X3"
"57477.64233","0.235738","0.027659","X3"
"57477.90718","0.335754","0.032124","X3"
"57478.03922","0.250687","0.023848","X3"
"57478.23898","0.271211","0.021775","X3"
"57478.43817","0.359323","0.031591","X3"
"57478.63776","0.400512","0.038434","X3"
"57478.90342","0.442757","0.039861","X3"
"57479.10241","0.538247","0.043223","X3"
"57479.23611","0.565166","0.058881","X3"
"57479.4489","0.500044","0.03748","X3"
"57479.70409","0.443642","0.043344","X3"
"57479.9009","0.390267","0.045874","X3"
"57480.09887","0.390242","0.039378","X3"
"57480.3779","0.39468","0.048515","X3"
"57480.56284","0.28684","0.049918","X3"
"57480.69602","0.41104","0.04105","X3"
"57480.89789","0.327157","0.036925","X3"
"57481.16404","0.410358","0.035845","X3"
"57481.29626","0.50258","0.040776","X3"
"57481.56067","0.501317","0.046289","X3"
"57481.76089","0.396602","0.037543","X3"
"57481.89411","0.305442","0.025302","X3"
"57482.16072","0.551031","0.069085","X3"
"57482.35973","0.53556","0.042855","X3"
"57482.55934","0.713108","0.059046","X3"
"57482.7583","0.548422","0.055098","X3"
"57482.88886","0.525958","0.079461","X3"
"57483.15729","0.413011","0.04186","X3"
"57483.29021","0.525862","0.049776","X3"
"57483.49091","0.603708","0.047716","X3"
"57483.62423","0.542473","0.045872","X3"
"57483.82292","0.553358","0.051982","X3"
"57484.15496","0.581631","0.054324","X3"
"57484.28859","0.523786","0.042726","X3"
"57484.48699","0.718183","0.069142","X3"
"57484.68769","0.592016","0.049794","X3"
"57484.81969","0.621243","0.047743","X3"
"57485.15191","0.535846","0.049731","X3"
"57485.35282","0.62347","0.04942","X3"
"57485.49839","0.663195","0.05488","X3"
"57485.75435","0.66965","0.054814","X3"
"57485.82089","0.676131","0.053248","X3"
"57486.14944","0.707329","0.063161","X3"
"57486.35509","0.462542","0.047286","X3"
"57486.49371","0.473625","0.039864","X3"
"57486.6286","0.471761","0.038487","X3"
"57486.82639","0.452706","0.039363","X3"
"57487.14631","0.509818","0.046689","X3"
"57487.28617","0.436809","0.043434","X3"
"57487.48409","0.384259","0.042444","X3"
"57487.67956","0.611326","0.065995","X3"
"57487.82505","0.631725","0.050958","X3"
"57488.14327","0.405721","0.035358","X3"
"57488.4819","0.575875","0.067742","X3"
"57488.61521","0.693422","0.06349","X3"
"57489.14059","0.397512","0.039172","X3"
"57489.34308","0.372223","0.029204","X3"
"57489.48791","0.316505","0.031819","X3"
"57489.67434","0.42944","0.041616","X3"
"57489.81523","0.472478","0.047013","X3"
"57490.13747","0.373804","0.045084","X3"
"57490.47383","0.442078","0.047238","X3"
"57490.67552","0.356294","0.026927","X3"
"57490.88426","0.381671","0.036759","X3"
"57491.33819","0.449558","0.038869","X3"
"57491.53715","0.38562","0.027259","X3"
"57491.67044","0.366255","0.041012","X3"
"57491.80991","0.438913","0.031084","X3"
"57492.33621","0.395496","0.038849","X3"
"57492.46851","0.405033","0.039225","X3"
"57492.60084","0.503344","0.046117","X3"
"57492.87715","0.511657","0.04566","X3"
"57493.26723","0.471115","0.03797","X3"
"57493.53139","0.637247","0.058385","X3"
"57493.66511","0.596016","0.052401","X3"
"57493.87551","0.561516","0.048601","X3"
"57494.26209","0.603564","0.047822","X3"
"57494.46207","0.473334","0.047232","X3"
"57494.66306","0.399949","0.039912","X3"
"57494.80025","0.436188","0.033308","X3"
"57495.008","0.32167","0.032864","X3"
"57495.26063","0.29047","0.02248","X3"
"57495.45958","0.394996","0.038883","X3"
